證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	200807	  -4.4090	   3.2953	  -5.0647	  -1.6054	 2.710
Y9999  	上市         	200808	   1.0669	   0.6376	  -4.5874	  -6.7339	 2.710
Y9999  	上市         	200809	 -18.9231	  -5.4364	  -3.6149	   8.1207	 2.710
Y9999  	上市         	200810	 -14.7143	   7.5113	  -1.4522	   2.7298	 2.555
Y9999  	上市         	200811	  -8.5513	  -2.7055	   7.6141	   7.7489	 2.170
Y9999  	上市         	200812	   2.8380	  -1.4133	   2.0268	  -6.5877	 1.420
Y9999  	上市         	200901	  -7.6131	   3.4386	  -1.2080	  -1.1616	 0.920
Y9999  	上市         	200902	   7.1020	   1.3974	  -4.6467	  -7.5123	 0.770
Y9999  	上市         	200903	  13.1046	   4.5009	   6.6083	 -10.6356	 0.770
Y9999  	上市         	200904	  14.4375	  -0.3180	  -0.9301	  -6.4360	 0.770
Y9999  	上市         	200905	  14.7136	  -0.0779	   4.3257	 -12.5737	 0.770
Y9999  	上市         	200906	  -6.4943	   0.2419	  -2.8091	   0.5231	 0.770
Y9999  	上市         	200907	  11.7616	   3.8289	   6.4134	   3.2421	 0.770
Y9999  	上市         	200908	  -2.7816	   1.4648	  -3.0591	   0.7085	 0.770
Y9999  	上市         	200909	   9.8894	   1.0588	   3.8740	   0.1692	 0.770
Y9999  	上市         	200910	  -2.1676	   3.7813	   1.4734	  -3.2793	 0.900
Y9999  	上市         	200911	   3.1890	   4.6327	   1.5764	  -0.6427	 0.900
Y9999  	上市         	200912	   7.9003	   5.1109	   5.2508	   4.8359	 0.900
Y9999  	上市         	201001	  -6.4342	  -1.8345	  -1.6913	  -5.5415	 0.900
Y9999  	上市         	201002	  -2.9156	   3.1787	  -1.4584	   0.8126	 0.900
Y9999  	上市         	201003	   6.3191	   4.6519	   3.0019	   2.5616	 0.900
Y9999  	上市         	201004	   1.0117	   1.7436	   1.3020	   1.4736	 0.900
Y9999  	上市         	201005	  -7.9117	  -0.6638	  -2.3477	  -2.6977	 0.900
Y9999  	上市         	201006	  -0.6372	   1.2167	  -0.8971	  -2.1445	 1.025
Y9999  	上市         	201007	   8.3205	  -0.4010	   2.1423	  -1.8630	 1.025
Y9999  	上市         	201008	  -0.9622	  -2.5573	   2.3137	  -1.0466	 1.025
Y9999  	上市         	201009	   8.1880	  -0.6651	   0.2757	   1.3041	 1.025
Y9999  	上市         	201010	   0.5143	  -3.1224	   3.7071	   0.7805	 1.130
Y9999  	上市         	201011	   0.8964	  -2.7050	  -1.2256	   4.0584	 1.130
Y9999  	上市         	201012	   7.2236	  -3.1990	   6.7887	  -1.3960	 1.130
Y9999  	上市         	201101	   1.7462	  -2.3398	   0.7618	  -2.7195	 1.190
Y9999  	上市         	201102	  -6.1809	   2.8306	  -2.3135	   2.7640	 1.190
Y9999  	上市         	201103	   0.9773	  -0.8836	   0.2193	   4.2764	 1.190
Y9999  	上市         	201104	   3.6117	  -0.3751	  -1.0627	   6.2444	 1.280
Y9999  	上市         	201105	  -0.3656	  -0.1199	  -1.3289	   0.9401	 1.280
Y9999  	上市         	201106	  -3.2483	  -0.2368	   1.6154	   2.5376	 1.280
Y9999  	上市         	201107	   2.1790	  -1.5990	  -2.4770	  10.5499	 1.355
Y9999  	上市         	201108	  -9.7438	  -1.3293	   1.6889	   3.8669	 1.355
Y9999  	上市         	201109	  -6.7450	  -0.7279	  -0.9927	  -5.5839	 1.355
Y9999  	上市         	201110	   4.8812	   0.1512	  -1.5881	   0.4166	 1.355
Y9999  	上市         	201111	  -8.8271	  -3.3847	   0.5838	   3.1344	 1.355
Y9999  	上市         	201112	   2.3600	   0.5628	  -1.4907	  -1.7868	 1.355
Y9999  	上市         	201201	   6.1665	  -1.2320	   1.5700	  -4.7315	 1.355
Y9999  	上市         	201202	   7.9464	   4.1612	   1.4490	 -12.3848	 1.355
Y9999  	上市         	201203	  -2.5637	   1.3248	  -2.3959	   9.2731	 1.355
